Genus,Species,Common name,1963s,1963e,1964s,1964e,1966s,1966e,1967s ,1967e,1968s,1968e,1969s,1969e,1970s,1970e ,1971s,1971e,1972s,1972e,1973s,1973e,1974s,1974e,1975s,1975e,1976s,1976e,1977s,1977e,1979s,1979e,1980s,1980e,1981s,1981e,1982s,1982e,1983s,1983e,1984s,1984e,1985s,1985e,1986s,1986e,1987s,1987e,1988s,1988e,1989s,1989e,1990s,1990e,1991s,1991e,1992s,1992e,1993s,1993e
Amelianchier,,Shadbush,NA,NA,7-May,10-May,14-May,20-May,16-May,21-May,25-Apr,9-May,25-Apr,9-May,2-May,11-May,10-May,20-May,NA,24-May,NA,4-May,25-Apr,3-May,NA,NA,18-Apr,2-May,20-Apr,4-May,NA,NA,NA,NA,NA,5-May,25-Apr,9-May,1-May,7-May,5-May,13-May,26-Apr,7-May,26-Apr,7-May,1-May,11-May,3-May,11-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cornus,florida,Flowering Dogwood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-May,2-Jun,11-May,31-May,4-May,25-May,17-May,9-Jun,10-May,1-Jun
Aquilega,canadensis,Wild Columbine,12-May,20-Jun,NA,NA,9-May,14-Jun,19-May,10-Jun,26-Apr,10-Jun,4-May,5-Jun,6-May,14-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-May,10-Jun,10-May,29-May,NA,NA,19-May,8-Jun,NA,NA
Convallaria,majalis,Lily-of-the-valley,12-May,1-Jun,9-May,4-Jun,15-May,4-Jun,20-May,10-Jun,5-May,4-Jun,5-May,4-Jun,8-May,10-Jun,NA,NA,NA,NA,NA,NA,8-May,12-Jun,12-May,31-May,1-May,30-May,3-May,15-May,NA,30-May,NA,NA,NA,NA,NA,12-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cardamine,pratensis,Cuckoo flower,12-May,1-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12-May,26-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trientalis,borealis,Starflower,12-May,10-Jun,9-May,4-Jun,20-May,12-Jun,18-May,12-Jun,5-May,5-Jun,5-May,4-Jun,13-May,2-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maianthemum,canadense,Wild Lily-of-the-valley,NA,NA,NA,NA,NA,12-Jun,29-May,19-Jun,4-May,11-Jun,15-May,10-Jun,11-May,10-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calla,palustris,Wild Calla,14-May,NA,10-May,15-Jun,21-May,9-Jul,NA,1-Jul,2-May,16-Jun,13-May,30-Jun,7-May,19-Jun,14-May,5-Jul,NA,NA,9-May,10-Jun,10-May,16-Jun,14-May,14-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16-May,8-Jun,10-May,5-Jun,NA,10-Jun,11-May,9-Jun,10-May,20-Jun,19-May,23-Jun,11-May,NA,11-May,15-Jun,3-Jun,NA,17-May,NA
Cornus,canadensis,Bunchberry,18-May,15-Jun,20-May,NA,23-May,11-Jun,5-Jun,20-Jun,9-May,12-Jun,11-May,12-Jun,16-May,14-Jun,NA,NA,NA,NA,NA,NA,NA,21-Jun,24-May,20-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23-May,12-Jun,21-May,12-Jun,11-May,16-Jun,13-May,1-Jun,NA,10-Jun,14-Jun,6-Jun
Polygala,paucifolia,Fringed Polygala,20-May,31-May,16-May,23-May,NA,NA,NA,NA,2-May,17-May,NA,NA,16-May,23-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-May,28-May,NA,NA,NA,NA,NA,NA,NA,NA,14-May,NA
Cypripedium,acaule,Pink Lady's Slipper,20-May,22-Jun,12-May,15-Jun,23-May,15-Jun,1-Jun,20-Jun,7-May,11-Jun,11-May,12-Jun,20-May,13-Jun,NA,NA,NA,NA,16-May,10-Jun,18-May,11-Jun,14-May,12-Jun,11-May,6-Jun,10-May,15-May,NA,28-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedum,acre,Mossy Stonecrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-May,6-Jun,NA,NA,NA,NA,24-May,9-Jun,NA,NA,NA,NA,NA,NA,NA,NA,17-Jun,15-Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Silene,pennsylvanica,Wild Pink,22-May,22-Jun,23-May,15-Jun,31-May,26-Jun,6-Jun,3-Jul,19-May,26-Jun,25-May,16-Jun,30-May,20-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chelidonium,majus,Celandine,22-May,20-Jun,14-May,NA,16-May,NA,18-May,20-Aug,8-May,12-Sep,10-May,30-Jun,13-May,26-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lychnis ,flos-cuculi,Ragged Robin,26-May,20-Jun,23-May,NA,30-May,22-Jun,3-Jun,26-Jun,NA,NA,25-May,20-Jun,25-May,18-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Podophyllum,peltatum,Mayapple,28-May,6-Jun,19-May,30-May,30-May,10-Jun,5-Jun,15-Jun,15-May,4-Jun,16-May,3-Jun,NA,31-May,NA,NA,30-May,10-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17-May,4-Jun,26-May,7-Jun,20-May,30-May,24-May,9-Jun,NA,NA
Actaea,rubra,Red Baneberry ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-May,16-May,17-May,24-May,NA,NA,NA,30-May,NA,NA,11-May,26-May,14-May,26-May,8-May,26-May,5-May,15-May,NA,30-May,NA,NA,NA,7-May,8-May,24-May,NA,NA,15-May,8-Jun,6-May,4-Jun,20-May,29-May,14-May,29-May,16-May,25-May,22-May,30-May,11-May,30-May,13-May,20-May,22-May,7-Jun,NA,NA
Actaea,pachypoda,White Baneberry,NA,NA,29-May,5-Jun,3-Jun,17-Jun,NA,10-Jun,NA,NA,NA,NA,NA,NA,NA,4-Jun,NA,NA,NA,3-Jun,25-May,21-Jun,25-May,31-May,18-May,3-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,6-Jun,NA,NA,NA,8-Jun,26-May,6-Jun,20-May,10-Jun,18-May,5-Jun,20-May,8-Jun,24-May,4-Jun,26-May,6-Jun,18-May,2-Jun,24-May,9-Jun,NA,NA
Sarracenia,purpurea,Pitcher Plant,26-May,NA,20-May,NA,31-May,4-Jun,6-Jun,7-Jul,16-May,12-Jun,22-May,5-Jun,24-May,5-Jun,NA,NA,NA,NA,22-May,10-Jun,NA,14-Jun,NA,NA,15-May,8-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,12-Jun,NA,NA,NA,14-Jun,15-May,15-Jun,NA,NA,25-May,14-Jun,26-May,15-Jun,20-May,15-Jun,NA,15-Jun,21-May,12-Jun,1-Jun,17-Jun,26-May,NA
Linnea,borealis,Twinflower,1-Jun,16-Jun,23-May,NA,4-Jun,19-Jun,7-Jun,24-Jun,19-May,15-Jun,25-May,12-Jun,6-Jun,19-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22-May,30-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Viburnum,cassinoides,Witherod,1-Jun,22-Jun,3-Jun,17-Jun,6-Jun,20-Jun,15-Jun,20-Jun,NA,NA,NA,NA,4-Jun,14-Jun,NA,NA,10-Jun,20-Jun,NA,NA,NA,NA,NA,NA,26-May,11-Jun,NA,16-Jun,6-Jun,12-Jun,4-Jun,17-Jun,25-May,7-Jun,1-Jun,16-Jun,4-Jun,14-Jun,6-Jun,13-Jun,1-Jun,14-Jun,1-Jun,6-Jun,1-Jun,10-Jun,3-Jun,15-Jun,2-Jun,14-Jun,3-Jun,15-Jun,22-May,3-Jun,8-Jun,15-Jun,1-Jun,12-Jun
Hypoxis,hirsuta,Yellow Stargrass,2-Jun,25-Jun,15-May,NA,31-May,30-Jun,7-Jun,20-Jul,30-May,4-Aug,4-Jun,20-Jun,4-Jun,29-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysanthemum,parthenium,Oxeye Daisy,1-Jun,NA,4-Jun,NA,4-Jun,19-Jul,10-Jun,31-Jul,6-Jun,1-Aug,6-Jun,8-Aug,4-Jun,24-Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-Jun,13-Jul,2-Jun,14-Jul,NA,26-Jul,NA,26-Jul
Smilacina,racemosa,False Solomon's Seal,2-Jun,15-Jun,29-May,15-Jun,27-May,24-Jun,5-Jun,15-Jun,30-May,16-Jun,NA,NA,4-Jun,14-Jun,NA,NA,NA,NA,6-Jun,21-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11-Jun,18-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iris,pseudacorus,Yellow Iris,NA,NA,NA,NA,NA,NA,5-Jun,1-Jul,21-May,4-Jul,24-May,28-Jun,24-May,29-Jun,NA,NA,29-May,4-Jul,25-May,19-Jun,NA,NA,NA,NA,14-May,11-Jun,NA,12-Jun,NA,NA,27-May,NA,21-May,13-Jun,23-May,19-Jun,22-May,20-Jun,25-May,18-Jun,26-May,14-Jun,21-May,6-Jun,25-May,11-Jun,27-May,14-Jun,27-May,18-Jun,2-Jun,19-Jun,20-May,2-Jun,31-May,20-Jun,30-May,NA
Viburnum,dentatum,Arrowwood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7-Jun,28-Jun,NA,NA,NA,NA,NA,NA,NA,NA,14-Jun,24-Jun,NA,NA,1-Jun,13-Jun,NA,22-Jun,6-Jun,16-Jun,NA,20-Jun,1-Jun,13-Jun,NA,NA,14-Jun,18-Jun,10-Jun,16-Jun,NA,14-Jun,5-Jun,13-Jun,5-Jun,14-Jun,NA,16-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kalmia ,angustifolia,Sheep Laurel,4-Jun,20-Jun,2-Jun,NA,12-Jun,22-Jun,16-Jun,3-Jul,1-Jun,2-Jul,4-Jun,23-Jun,4-Jun,24-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9-Jun,28-Jun,1-Jun,19-Jun,3-Jun,28-Jun,5-Jun,24-Jun,3-Jun,25-Jun,3-Jun,1-Jul,4-Jun,29-Jun,25-May,18-Jun,9-Jun,20-Jun,9-Jun,NA
Viburnum,acerifolium,Maple-leaved Viburnum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6-Jun,13-Jun,NA,NA,NA,NA,1-Jun,13-Jun,NA,18-Jun,8-Jun,16-Jun,1-Jun,18-Jun,1-Jun,12-Jun,NA,15-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-Jun,7-Jul,5-Jun,19-Jun,12-Jun,19-Jun,NA,4-Jun,3-Jun,19-Jun,NA,NA
Kalmia ,latifolia,Mountain Laurel,6-Jun,27-Jun,30-May,NA,11-Jun,4-Jul,11-Jun,9-Jul,9-Jun,30-Jun,3-Jun,28-Jun,3-Jun,30-Jun,NA,NA,11-Jun,3-Jul,6-Jun,24-Jun,9-Jun,26-Jun,10-Jun,26-Jun,2-Jun,24-Jun,NA,21-Jun,6-Jun,19-Jun,5-Jun,24-Jun,1-Jun,19-Jun,13-Jun,3-Jul,9-Jun,23-Jun,10-Jun,25-Jun,6-Jun,19-Jun,3-Jun,26-Jun,9-Jun,22-Jun,10-Jun,24-Jun,6-Jun,26-Jun,12-Jun,27-Jun,26-May,18-Jun,12-Jun,1-Jul,8-Jun,NA
Viburnum,trilobum,Highbush Cranberry,NA,NA,NA,NA,NA,NA,15-Jun,24-Jun,31-May,15-Jun,27-May,11-Jun,1-Jun,14-Jun,NA,NA,4-Jun,16-Jun,30-May,10-Jun,1-Jun,14-Jun,30-May,4-Jun,22-May,9-Jun,NA,NA,NA,15-Jun,NA,15-Jun,25-May,4-Jun,25-May,12-Jun,NA,NA,2-Jun,12-Jun,24-May,13-Jun,24-May,6-Jun,27-May,14-Jun,29-May,14-Jun,27-May,12-Jun,1-Jun,16-Jun,18-May,1-Jun,30-May,14-Jun,31-May,11-Jun
Potentilla,tridentata,3-toothed Cinquefoil,6-Jun,30-Jun,25-May,18-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Silene,cucubalus,Bladder Campion,6-Jun,NA,25-May,NA,7-Jun,9-Jul,21-Jun,10-Jul,3-Jun,30-Jun,NA,NA,8-Jun,1-Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thalictrum,polygamum,Tall Meadow Rue,8-Jun,20-Jul,NA,NA,21-Jun,28-Jul,21-Jun,27-Jul,13-Jun,20-Jul,18-Jun,28-Jun,24-Jun,24-Jul,NA,NA,20-Jun,18-Jul,14-Jun,29-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-Jul,3-Jul,14-Jul,1-Jul,16-Jul,13-Jul,20-Jul,27-Jun,20-Jul,24-Jun,15-Jul,29-Jun,16-Jul,NA,NA,28-Jun,18-Jul,28-Jun,17-Jul,28-Jun,19-Jul,NA,NA
Glechoma ,hederacea,Creeping Charlie,NA,NA,8-Jun,NA,21-Jun,28-Jul,21-Jun,24-Jul,15-Jun,15-Jul,25-Jun,NA,10-Jun,24-Jul,NA,NA,25-Jun,17-Jul,20-Jun,29-Jul,13-Jun,30-Jul,NA,5-Jul,3-Jun,10-Jul,NA,21-Jun,NA,19-Jun,NA,NA,2-Jun,15-Jul,6-Jun,20-Jul,16-Jun,12-Jul,9-Jun,19-Jul,2-Jun,19-Jun,9-Jun,18-Jun,9-Jun,15-Jul,11-Jun,10-Jul,7-Jun,1-Jul,12-Jun,15-Jul,2-Jun,25-Jun,11-Jun,21-Jul,3-Jun,NA
Medeola,virginiana,Indian Cucumber,NA,NA,NA,NA,NA,NA,20-Jun,25-Jul,NA,NA,NA,NA,22-Jun,24-Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sambucus,canadensis,Common Elder,NA,NA,NA,NA,NA,NA,NA,NA,22-Jun,20-Jul,13-Jun,28-Jun,18-Jun,10-Jul,13-Jun,8-Jul,25-Jun,10-Jul,18-Jun,29-Jun,15-Jun,8-Jul,21-Jun,8-Jul,15-Jun,30-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22-Jun,12-Jul,15-Jun,18-Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5-Jul,19-Jul,NA,NA
Mitchella,repens, Partridgeberry,21-Jun,30-Jun,NA,NA,18-Jun,3-Jul,21-Jun,3-Jul,15-Jun,3-Jul,13-Jun,25-Jun,13-Jun,26-Jun,NA,NA,NA,NA,16-Jun,27-Jun,17-Jun,10-Jul,16-Jun,1-Jul,15-Jun,30-Jun,NA,15-Jun,17-Jun,NA,NA,NA,8-Jun,16-Jun,24-Jun,5-Jul,NA,NA,17-Jun,25-Jun,18-Jun,NA,15-Jun,30-Jun,17-Jun,29-Jun,17-Jun,30-Jun,19-Jun,28-Jun,20-Jun,29-Jun,4-Jun,26-Jun,19-Jun,1-Jul,NA,NA
Rosa,multiflora,Multifloral Rose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8-Jun,24-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oenothera,biennis,Common Evening Primrose,17-Jun,20-Jul,15-Jun,NA,21-Jun,18-Jul,21-Jun,2-Aug,17-Jun,21-Jul,10-Jun,30-Jun,13-Jun,15-Jul,NA,NA,20-Jun,16-Jul,12-Jun,29-Jun,18-Jun,15-Jul,16-Jun,14-Jul,11-Jun,30-Jun,NA,NA,13-Jun,10-Jul,NA,NA,9-Jun,27-Jun,17-Jun,16-Jul,18-Jun,10-Jul,16-Jun,9-Jul,15-Jun,19-Jun,15-Jun,12-Jul,15-Jun,15-Jul,21-Jun,10-Jul,19-Jun,10-Jul,20-Jun,12-Jul,8-Jun,15-Jul,21-Jun,20-Jul,NA,NA
Rhododendron,viscosum,Clammy Azalea,17-Jun,28-Jul,10-Jun,NA,20-Jun,26-Jul,20-Jun,4-Aug,18-Jun,30-Jul,13-Jun,30-Jul,10-Jun,24-Jul,NA,NA,16-Jun,30-Jul,11-Jun,29-Jun,21-Jun,12-Aug,12-Jun,16-Jul,11-Jun,21-Jul,NA,20-Jun,10-Jun,20-Jul,15-Jun,NA,NA,NA,15-Jun,22-Jul,13-Jun,10-Jul,15-Jun,18-Jul,21-Jun,24-Jul,18-Jun,20-Jul,15-Jun,18-Jul,21-Jun,20-Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pogonia,ophioglossoides,Rose Pogonia,20-Jun,30-Jun,14-Jun,NA,23-Jun,30-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaccinium,macrocarpon,Large Cranberry,20-Jun,30-Jun,14-Jun,NA,23-Jun,13-Jul,25-Jun,10-Jul,18-Jun,5-Jul,11-Jun,30-Jun,NA,6-Jul,NA,NA,NA,NA,14-Jun,25-Jun,NA,NA,NA,NA,3-Jun,25-Jun,NA,NA,NA,NA,NA,NA,NA,NA,23-Jun,18-Jul,NA,NA,NA,NA,17-Jun,NA,18-Jun,24-Jun,NA,NA,17-Jun,14-Jul,20-Jun,NA,20-Jun,16-Jul,NA,NA,NA,NA,NA,NA
Pyrolla,elliptica,Shinleaf,25-Jun,31-Jul,NA,NA,2-Jul,18-Jul,1-Jul,NA,30-Jun,16-Jul,22-Jun,28-Jun,28-Jun,15-Jul,NA,NA,NA,NA,24-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spirea,tomentosa,Steeplebush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-Jul,24-Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25-Jul,6-Aug,NA,NA,NA,NA,30-Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
